time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-20 00:00:00+00:00,37,25,4,4
2022-12-21 00:00:00+00:00,36,25,5,3
2022-12-22 00:00:00+00:00,33,23,1,1
2022-12-23 00:00:00+00:00,30,24,5,4
2022-12-24 00:00:00+00:00,43,27,15,7
2022-12-25 00:00:00+00:00,41,24,8,5
2022-12-26 00:00:00+00:00,36,25,2,2
2022-12-27 00:00:00+00:00,34,23,5,1
2022-12-28 00:00:00+00:00,36,28,23,5
2022-12-29 00:00:00+00:00,29,22,2,1
2022-12-30 00:00:00+00:00,30,23,6,4
2022-12-31 00:00:00+00:00,38,24,5,4
2023-01-01 00:00:00+00:00,40,26,3,2
2023-01-02 00:00:00+00:00,33,23,20,5
2023-01-03 00:00:00+00:00,40,29,16,11
2023-01-04 00:00:00+00:00,33,27,26,6
2023-01-05 00:00:00+00:00,30,26,13,7
2023-01-06 00:00:00+00:00,28,26,6,4
2023-01-07 00:00:00+00:00,30,25,13,6
2023-01-08 00:00:00+00:00,30,24,10,4
2023-01-09 00:00:00+00:00,31,25,15,7
2023-01-10 00:00:00+00:00,31,25,4,4
2023-01-11 00:00:00+00:00,28,25,10,4
2023-01-12 00:00:00+00:00,28,26,15,5
2023-01-13 00:00:00+00:00,30,25,14,4
2023-01-14 00:00:00+00:00,28,23,8,5
2023-01-15 00:00:00+00:00,33,26,7,3
2023-01-16 00:00:00+00:00,33,28,3,2
2023-01-17 00:00:00+00:00,30,27,13,6
2023-01-18 00:00:00+00:00,24,22,9,7
2023-01-19 00:00:00+00:00,23,23,23,8
2023-01-20 00:00:00+00:00,24,23,9,4
2023-01-21 00:00:00+00:00,25,23,2,2
2023-01-22 00:00:00+00:00,26,24,18,6
2023-01-23 00:00:00+00:00,651,25,4,3
2023-01-24 00:00:00+00:00,49,24,22,3
2023-01-25 00:00:00+00:00,51,25,12,9
2023-01-26 00:00:00+00:00,50,26,5,3
2023-01-27 00:00:00+00:00,49,23,7,4
2023-01-28 00:00:00+00:00,54,27,1,1
2023-01-29 00:00:00+00:00,52,28,13,4
2023-01-30 00:00:00+00:00,49,26,6,4
2023-01-31 00:00:00+00:00,48,25,8,4
2023-02-01 00:00:00+00:00,43,25,16,6
2023-02-02 00:00:00+00:00,52,25,9,3
2023-02-03 00:00:00+00:00,48,25,23,8
2023-02-04 00:00:00+00:00,39,23,5,3
2023-02-05 00:00:00+00:00,41,26,4,4
